customer_id,customer_name,email,city,state,customer_segment
C000001,David Okoro,customer000001@quickmart.example,Ikeja,Lagos,Mass Market
C000002,Peter Garba,customer000002@quickmart.example,Maiduguri,Borno,Mass Market
C000003,Hauwa Ogunleye,customer000003@quickmart.example,Port Harcourt,Rivers,Mass Market
C000004,Chinedu Okafor,customer000004@quickmart.example,Maiduguri,Borno,Mass Market
C000005,Chinedu Musa,customer000005@quickmart.example,Jos,Plateau,Mass Market
C000006,Emeka Abdullahi,customer000006@quickmart.example,Ado-Ekiti,Ekiti,Business
C000007,David Ogunleye,customer000007@quickmart.example,Kano,Kano,Mass Market
C000008,Yusuf Akinyemi,customer000008@quickmart.example,Jos,Plateau,Mass Market
C000009,Grace Bello,customer000009@quickmart.example,Kano,Kano,Mass Market
C000010,David Lawal,customer000010@quickmart.example,Port Harcourt,Rivers,Mass Market
C000011,Musa Ibrahim,customer000011@quickmart.example,Abeokuta,Ogun,Premium
C000012,Kelechi Adeyemi,customer000012@quickmart.example,Port Harcourt,Rivers,Mass Market
C000013,Sarah Balogun,customer000013@quickmart.example,Ado-Ekiti,Ekiti,Business
C000014,Peter Garba,customer000014@quickmart.example,Ibadan,Oyo,Mass Market
C000015,Yusuf Danladi,customer000015@quickmart.example,Calabar,Cross River,Premium
C000016,Peter Mohammed,customer000016@quickmart.example,Akure,Ondo,Premium
C000017,Ngozi Ibrahim,customer000017@quickmart.example,Lagos,Lagos,Business
C000018,Mary Akinyemi,customer000018@quickmart.example,Ilorin,Kwara,Mass Market
C000019,Ada Abdullahi,customer000019@quickmart.example,Benin City,Edo,Premium
C000020,Tunde Nwosu,customer000020@quickmart.example,Onitsha,Anambra,Mass Market
C000021,Ngozi Okoro,customer000021@quickmart.example,Abuja,FCT,Mass Market
C000022,Blessing Adeyemi,customer000022@quickmart.example,Abeokuta,Ogun,Premium
C000023,John Okoro,customer000023@quickmart.example,Abuja,FCT,Mass Market
C000024,Oluwaseun Abdullahi,customer000024@quickmart.example,Ibadan,Oyo,Premium
C000025,Peter Sani,customer000025@quickmart.example,Jos,Plateau,Mass Market
C000026,Hauwa Adebayo,customer000026@quickmart.example,Akure,Ondo,Mass Market
C000027,Chinedu Bello,customer000027@quickmart.example,Calabar,Cross River,Mass Market
C000028,Ada Garba,customer000028@quickmart.example,Ibadan,Oyo,Mass Market
C000029,Musa Sani,customer000029@quickmart.example,Enugu,Enugu,Mass Market
C000030,Tunde Mohammed,customer000030@quickmart.example,Ikeja,Lagos,Business
C000031,Tunde Sani,customer000031@quickmart.example,Ikeja,Lagos,Mass Market
C000032,Grace Garba,customer000032@quickmart.example,Onitsha,Anambra,Mass Market
C000033,David Danladi,customer000033@quickmart.example,Kano,Kano,Mass Market
C000034,Musa Mohammed,customer000034@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000035,Zainab Musa,customer000035@quickmart.example,Ibadan,Oyo,Premium
C000036,Daniel Ibrahim,customer000036@quickmart.example,Lekki,Lagos,Business
C000037,Emeka Sani,customer000037@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000038,Ada Bello,customer000038@quickmart.example,Abeokuta,Ogun,Mass Market
C000039,Samuel Abdullahi,customer000039@quickmart.example,Ikeja,Lagos,Mass Market
C000040,Michael Abdullahi,customer000040@quickmart.example,Calabar,Cross River,Mass Market
C000041,John Danladi,customer000041@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000042,Sarah Ogunleye,customer000042@quickmart.example,Osogbo,Osun,Business
C000043,Yusuf Akinyemi,customer000043@quickmart.example,Enugu,Enugu,Mass Market
C000044,Ibrahim Lawal,customer000044@quickmart.example,Benin City,Edo,Premium
C000045,Daniel Mohammed,customer000045@quickmart.example,Ilorin,Kwara,Mass Market
C000046,Kelechi Okoro,customer000046@quickmart.example,Calabar,Cross River,Premium
C000047,Tunde Nwosu,customer000047@quickmart.example,Onitsha,Anambra,Premium
C000048,Zainab Abdullahi,customer000048@quickmart.example,Kano,Kano,Premium
C000049,Hauwa Adebayo,customer000049@quickmart.example,Akure,Ondo,Mass Market
C000050,Peter Nwosu,customer000050@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000051,Sarah Adeyemi,customer000051@quickmart.example,Akure,Ondo,Mass Market
C000052,John Musa,customer000052@quickmart.example,Enugu,Enugu,Mass Market
C000053,Blessing Okafor,customer000053@quickmart.example,Jos,Plateau,Mass Market
C000054,Tunde Garba,customer000054@quickmart.example,Ado-Ekiti,Ekiti,Business
C000055,Ngozi Ogunleye,customer000055@quickmart.example,Onitsha,Anambra,Mass Market
C000056,Daniel Adeyemi,customer000056@quickmart.example,Calabar,Cross River,Mass Market
C000057,Musa Garba,customer000057@quickmart.example,Akure,Ondo,Mass Market
C000058,Mary Nwosu,customer000058@quickmart.example,Abuja,FCT,Mass Market
C000059,Sarah Garba,customer000059@quickmart.example,Ibadan,Oyo,Mass Market
C000060,Yusuf Musa,customer000060@quickmart.example,Lekki,Lagos,Mass Market
C000061,Oluwaseun Akinyemi,customer000061@quickmart.example,Enugu,Enugu,Mass Market
C000062,Sarah Musa,customer000062@quickmart.example,Ado-Ekiti,Ekiti,Premium
C000063,Blessing Lawal,customer000063@quickmart.example,Maiduguri,Borno,Mass Market
C000064,Kelechi Lawal,customer000064@quickmart.example,Lagos,Lagos,Business
C000065,Chinedu Abdullahi,customer000065@quickmart.example,Lagos,Lagos,Mass Market
C000066,Ibrahim Eze,customer000066@quickmart.example,Ilorin,Kwara,Premium
C000067,Zainab Okafor,customer000067@quickmart.example,Abuja,FCT,Premium
C000068,Blessing Sani,customer000068@quickmart.example,Benin City,Edo,Premium
C000069,Daniel Nwosu,customer000069@quickmart.example,Ikeja,Lagos,Mass Market
C000070,Tunde Ibrahim,customer000070@quickmart.example,Ikeja,Lagos,Mass Market
C000071,Peter Mohammed,customer000071@quickmart.example,Port Harcourt,Rivers,Mass Market
C000072,John Danladi,customer000072@quickmart.example,Ilorin,Kwara,Mass Market
C000073,Tunde Abdullahi,customer000073@quickmart.example,Akure,Ondo,Mass Market
C000074,Mary Adebayo,customer000074@quickmart.example,Benin City,Edo,Mass Market
C000075,Yusuf Bello,customer000075@quickmart.example,Onitsha,Anambra,Mass Market
C000076,Tunde Mohammed,customer000076@quickmart.example,Akure,Ondo,Business
C000077,Ibrahim Abdullahi,customer000077@quickmart.example,Jos,Plateau,Premium
C000078,Grace Akinyemi,customer000078@quickmart.example,Abeokuta,Ogun,Premium
C000079,Esther Adebayo,customer000079@quickmart.example,Ado-Ekiti,Ekiti,Premium
C000080,Hauwa Nwosu,customer000080@quickmart.example,Lagos,Lagos,Mass Market
C000081,Oluwaseun Musa,customer000081@quickmart.example,Abuja,FCT,Mass Market
C000082,Chinedu Ibrahim,customer000082@quickmart.example,Lekki,Lagos,Mass Market
C000083,John Musa,customer000083@quickmart.example,Onitsha,Anambra,Business
C000084,Ada Lawal,customer000084@quickmart.example,Abuja,FCT,Mass Market
C000085,Michael Adeyemi,customer000085@quickmart.example,Kano,Kano,Mass Market
C000086,Yusuf Okafor,customer000086@quickmart.example,Ilorin,Kwara,Premium
C000087,David Mohammed,customer000087@quickmart.example,Abuja,FCT,Mass Market
C000088,Fatima Mohammed,customer000088@quickmart.example,Kaduna,Kaduna,Business
C000089,Peter Ibrahim,customer000089@quickmart.example,Benin City,Edo,Business
C000090,Ada Ogunleye,customer000090@quickmart.example,Lekki,Lagos,Mass Market
C000091,Chinedu Ogunleye,customer000091@quickmart.example,Osogbo,Osun,Mass Market
C000092,Ada Yusuf,customer000092@quickmart.example,Maiduguri,Borno,Mass Market
C000093,Emeka Ogunleye,customer000093@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000094,Blessing Usman,customer000094@quickmart.example,Lekki,Lagos,Premium
C000095,Zainab Abdullahi,customer000095@quickmart.example,Benin City,Edo,Mass Market
C000096,Fatima Musa,customer000096@quickmart.example,Kaduna,Kaduna,Business
C000097,Grace Ogunleye,customer000097@quickmart.example,Ibadan,Oyo,Business
C000098,Yusuf Okafor,customer000098@quickmart.example,Akure,Ondo,Mass Market
C000099,Michael Nwosu,customer000099@quickmart.example,Jos,Plateau,Mass Market
C000100,Mary Eze,customer000100@quickmart.example,Ilorin,Kwara,Mass Market
C000101,Ada Eze,customer000101@quickmart.example,Ilorin,Kwara,Mass Market
C000102,John Mohammed,customer000102@quickmart.example,Kano,Kano,Mass Market
C000103,Ada Okafor,customer000103@quickmart.example,Kano,Kano,Mass Market
C000104,Amina Eze,customer000104@quickmart.example,Maiduguri,Borno,Mass Market
